Tile:[(-16, 10)]:-:Pieces: []
Tile:[(-15, 10)]:-:Pieces: []
Tile:[(-14, 10)]:-:Pieces: []
Tile:[(-13, 10)]:-:Pieces: []
Tile:[(-12, 10)]:-:Pieces: []
Tile:[(-11, 10)]:-:Pieces: []
Tile:[(-10, 10)]:-:Pieces: []
Tile:[(-9, 10)]:-:Pieces: []
Tile:[(-8, 10)]:-:Pieces: []
Tile:[(-7, 10)]:-:Pieces: []
Tile:[(-6, 10)]:-:Pieces: []
Tile:[(-5, 10)]:-:Pieces: []
Tile:[(-4, 10)]:-:Pieces: []
Tile:[(-3, 10)]:-:Pieces: []
Tile:[(-2, 10)]:-:Pieces: []
Tile:[(-1, 10)]:-:Pieces: []
Tile:[(0, 10)]:-:Pieces: []
Tile:[(1, 10)]:-:Pieces: []
Tile:[(2, 10)]:-:Pieces: []
Tile:[(3, 10)]:-:Pieces: []
Tile:[(4, 10)]:-:Pieces: []
Tile:[(5, 10)]:-:Pieces: []
Tile:[(6, 10)]:-:Pieces: []
Tile:[(-15, 9)]:-:Pieces: []
Tile:[(-14, 9)]:-:Pieces: []
Tile:[(-13, 9)]:-:Pieces: []
Tile:[(-12, 9)]:-:Pieces: []
Tile:[(-11, 9)]:-:Pieces: []
Tile:[(-10, 9)]:-:Pieces: []
Tile:[(-9, 9)]:-:Pieces: []
Tile:[(-8, 9)]:-:Pieces: []
Tile:[(-7, 9)]:-:Pieces: []
Tile:[(-6, 9)]:-:Pieces: []
Tile:[(-5, 9)]:-:Pieces: []
Tile:[(-4, 9)]:-:Pieces: []
Tile:[(-3, 9)]:-:Pieces: []
Tile:[(-2, 9)]:-:Pieces: []
Tile:[(-1, 9)]:-:Pieces: []
Tile:[(0, 9)]:-:Pieces: []
Tile:[(1, 9)]:-:Pieces: []
Tile:[(2, 9)]:-:Pieces: []
Tile:[(3, 9)]:-:Pieces: []
Tile:[(4, 9)]:-:Pieces: []
Tile:[(5, 9)]:-:Pieces: []
Tile:[(6, 9)]:-:Pieces: []
Tile:[(7, 9)]:-:Pieces: []
Tile:[(-15, 8)]:-:Pieces: []
Tile:[(-14, 8)]:-:Pieces: []
Tile:[(-13, 8)]:-:Pieces: []
Tile:[(-12, 8)]:-:Pieces: []
Tile:[(-11, 8)]:-:Pieces: []
Tile:[(-10, 8)]:-:Pieces: []
Tile:[(-9, 8)]:-:Pieces: []
Tile:[(-8, 8)]:-:Pieces: []
Tile:[(-7, 8)]:-:Pieces: []
Tile:[(-6, 8)]:-:Pieces: []
Tile:[(-5, 8)]:-:Pieces: []
Tile:[(-4, 8)]:-:Pieces: []
Tile:[(-3, 8)]:-:Pieces: []
Tile:[(-2, 8)]:-:Pieces: []
Tile:[(-1, 8)]:-:Pieces: []
Tile:[(0, 8)]:-:Pieces: []
Tile:[(1, 8)]:-:Pieces: []
Tile:[(2, 8)]:-:Pieces: []
Tile:[(3, 8)]:-:Pieces: []
Tile:[(4, 8)]:-:Pieces: []
Tile:[(5, 8)]:-:Pieces: []
Tile:[(6, 8)]:-:Pieces: []
Tile:[(7, 8)]:-:Pieces: []
Tile:[(-14, 7)]:-:Pieces: []
Tile:[(-13, 7)]:-:Pieces: []
Tile:[(-12, 7)]:-:Pieces: []
Tile:[(-11, 7)]:-:Pieces: []
Tile:[(-10, 7)]:-:Pieces: []
Tile:[(-9, 7)]:-:Pieces: []
Tile:[(-8, 7)]:-:Pieces: []
Tile:[(-7, 7)]:-:Pieces: []
Tile:[(-6, 7)]:-:Pieces: []
Tile:[(-5, 7)]:-:Pieces: []
Tile:[(-4, 7)]:-:Pieces: []
Tile:[(-3, 7)]:-:Pieces: []
Tile:[(-2, 7)]:-:Pieces: []
Tile:[(-1, 7)]:-:Pieces: []
Tile:[(0, 7)]:-:Pieces: []
Tile:[(1, 7)]:-:Pieces: []
Tile:[(2, 7)]:-:Pieces: []
Tile:[(3, 7)]:-:Pieces: []
Tile:[(4, 7)]:-:Pieces: []
Tile:[(5, 7)]:-:Pieces: []
Tile:[(6, 7)]:-:Pieces: []
Tile:[(7, 7)]:-:Pieces: []
